1diena	pirmdiena
apkārtnes	apkārt,visapkārt
apkārtot	apkalpot
apkārtriņķojums	virpulis,riņķojums
apkārtsirotājs	klaidonis
apkārtstaiga	blandonis,klaidonis,apkārtstaigulis,vanderzellis
apkārtstaigulis	klaidonis
apkārttecis	apkārtskraidulis,apkārtteķis
apkārtums	apkārtmērs,apkārtne,apkaime,apveids
apkāsēja	krāpniece
apkast	apgrābt,apkasīt,ierakt,aprakt
apkāst-2	apmānīt,apkrāpt,izjokot,apcelt
apkaš-	apakšējais,pakļauts
apkašāt	apcirst,nocirst,apēst,aprīt,nosukāt
apkašņāt	sagrābt,sakast,aprakt,ierušināt
apkaunēt	apkaunot,nolamāt,nokaunināt
apkaunēties	nokaunēties
apkaunināt	nokaunināt
apkauns	kauns,negods
apkausināt	apkausēt
apkaust	aprakt,apraust
apkaustīt	apkalt
apkaut	nokaut,nogalināt
apkavāt	nosargāt,pasargāt
apkavēt	kavēt,aizkavēt
apkāzāties	apprecēties
apkāzoties	precēties,apprecēties
apklabināt	izklauvēt,perkutēt
apklaiņāt	apceļot,apstaigāt
apklaiņot	apklejot
apklājs	pārklājs
apklapēt	apsist,apdauzīt
apklāt	pārklāt,apsegt,pārsegt
apklausīt	pārklaušināt
apklausīties	pajautāt
apklaust	izzināt,izpētīt,izklaušināt
apklaušenēt	apklaušināt
apklaušināt	apjautāt
apklaušināties	apjautāties
apklēbēt	aplīmēt
apklejāt	aplīmēt
apklejot	apklaiņot
apklencēt	apstaigāt,apklaiņot
apklenčot	apklencēt
apklenderēt	apklaiņot
apklepsīt	aprīt,nosukāt
apklesēt	aprīt,nosukāt
apkliest	apkaisīt
apklimt	apklupt
apkluburot	apklumburot
apklūgot	apklūgāt
apkluit	aprīt,nosukāt
apklunkurot	apklumburot
apklupt	klupt,paklupt,krist
apklusēt	noklusēt,apklust
apklusināt	izslēgt,apturēt,nomierināt,nogalināt,apremdināt
apklust	izbeigties,norimt
apkļaut	apņemt
apkļūt	apvirzīties
apknabināt	apgrauzt,apkrimst
apknābt	apknābāt,knābāt,knābt
apknāpāt	apknābāt
apknāpt	apknābt
apkniebt	nokniebt
apkniest	apknist-2
apknietēt	apēst,aprīt,nosukāt
apknubināt	apknibināt
apkņapāt	apknābāt,apcirst,apdarināt
apkņēckāt	nozelēt,nosiekalot,apsmulēt
apkņegāt	apgrauzt,apkrimst
apkņērpāt	apgrauzt,apkrimst,apdrupināt
apkņubināt	apknubināt
apkņudis	apknidis
apkodaļāt	apkodīt
apkodelēt	apkodīt
apkodīt	iekost,nokost
apkopa	kopšana,apkopšana
apkopīgs	kārtīgs,tīrs
apkopot	vispārināt,secināt
apkopt	iztīrīt,pārsiet
apkorēm	aplinkus,netieši
apkost	iekost,nokost
apkošļāt	sakošļāt
apkožļāt	apkošļāt
apkraistīt	nokrejot
apkrāmēt	aprakt,apzagt,aptīrīt,apmuļķot,apkrāpt,apkraut,izjokot,izsmiet
apkrampēt	apskaut,apzagt,aptīrīt
apkrāpējs	krāpnieks,mānītājs
apkrāpt	pievilt
apkratīt	nokratīt,nobirdināt,pārbērt
apkratīties	apbērties
apkraustelēt	apkraustīt
apkraustīt	apkraut
apkraut	pārklāt,apsegt,uzlikt,aplikt
apkrauties	uzņemties
apkravāt	nokraut,apkraut
apkravāties	ievākties,iekravāties
apkrepēt	aprepēt
apkrēslis	pakrēslis
apkrēst	apsmulēt,notašķīt,notraipīt,nokratīt
apkreties	dusmīgs,saniknots
apkribināt	apknibināt,apgrauzt,apkrimst
apkriet	nokrejot
apkrimst	apgrauzt,apskrubināt
apkrist	nokrist,nobeigties,saslimt
apkrīžāt	aprakstīt
apkriželēt	apšvīkāt
apkrobulēt	aprepēt
apkronēt	kronēt
apkropļot	sakropļot,izkropļot
apkrubināt	apgrauzt,apkrimst
apkrustīt	kristīt,apķīlāt
apkrūzēties	sakrokoties,červelēties
apkrūzot	sakrokoties,červelēties
apkubeklis-1	ērkšķis,dzelonis
apkubeklis-2	lakats,vadmala,uzkubekls
apkubekls	uzkubekls
apkubināt	apsegties
apkucis	spurains,pinkains
apkūdenāt	sakūdīt,samusināt
apkūdīt	sakūdīt,samusināt
apkuiļoties	apvaisloties,sapāroties
apkukot	aizkūkot
apkukt	noliekties,nošķiebties
apkukties	noliekties
apkula	atkala
apkulas	apkūlības
apkule	atkala,gāle
apkūleņoties	apgāzties,apkrist,apgriezties
apkulības	apkūlības
apkūlines	apkūlības
apkūliņi	apkūlības
apkulkstīt	apkulstīt
apkult	izkult
apkuļas	apkūlības
apkūļāt	sist,iesist,dauzīt
apkūpēt	degot,pārklāties,apkvēpt,nokvēpt,pārklāt,apņemt,apputēt
apkūpināt	apkvēpināt,nokvēpināt
apkūpt	apkvēpt
apkure	apkurināšana
apkurināt	apsildīt,iekurt,iekurināt
apkurinātājs	kurinātājs
apkurkties	apkuiļoties
apkurlināt	apdullināt
apkurst	nogurt,mitēties
apkust-1	atkust,nokust
apkust-2	nogurt,piekust
apkušināt	mierināt,apklusināt
apkveldināt	applaucēt,nobrucināt
apkvellēt	applaucēt,apvārīt
apkvēpēt	apkvēpināt
apkvēpis	apsvēpis
apkvēpt	pārklāties,nokvēpt
apkverpis	niecīgs
apkverpt	nonīkt,panīkt,apaugt
apķarstīt	apķerstīt,apgrābstīt,aptaustīt
apķecēt	apķepēt
apķellāt	aptriept
apķellēt	notraipīt,nosmērēt
apķemmēt	sasukāt
apķēpāt	notraipīt
apķepēt	apķept,apķepināt
apķepināt	notraipīt,noklāt
apķēpt	apķept
apķept	aplipt,pārklāties,notraipīties
apķerība	apķērība
apķērība	atjautība,attapība
apķērīgs	atjautīgs,attapīgs
apķērīgums	apķērība
apķērnāt	nosmulēt,notraipīt,notašķīt
apķērnēt	nosmulēt,notraipīt,notašķīt
apķerstīt	apgrābstīt,aptaustīt
apķert	apķerties,noķert,izķert,apskaut,apkampt
apķerties	apņemt,aptvert,attapties,saprast,apjēgt,apskauties,apkampties,saķerties,aplipt
apķesties	apšķiesties,apsmērēties
apķezināt	nosmērēt
apķezināties	nosmērēties
apķezīt	nosmērēt
apķibelēt	apķīlāt
apķibināties	apvīties
apķibt	aplipt
apķieķerene	aptiekāre
apķieķeris	aptieka,aptiekārs
apķilas	kājauts
apķinkt	apsalt
apķīpāt	izniekot,saķēzīt
apķipt	aplipt,apķibt
apķirināt	apkārt,apkarināt
apķirmināt	nosmulēt,notraipīt
apķis	krupis
apķuidīt-2	apgādāt,nodrošināt
apķverties	apķerties
apl.	aploksne
aplabināt	nomierināt,remdināt,pielabināt
aplabt	nomierināties,apklust
aplacinātājs	zobgalis,izsmējējs
apladēt	sagatavot,uztaisīt
apladēties	sagatavoties,sataisīties
aplāgiem	reizēm,dažkārt,brīžiem
aplāgs-1	nometne
aplāgs-2	vakarēdiens,dievgalds
aplāgs-3	apgaita
aplaicīt	atbalstīt,palīdzēt
aplaikāt	pasargāt,nosargāt
aplaikiem	reizēm,dažkārt,periodiski
aplaist	apskriet,apbraukt,aplidot,izplatīt,aplecināt
aplaisties	inficēties,aplipt
aplaistīt	nolaistīt
aplaitīt	apbraucīt,masēt
aplaizīt	nolaizīt,apņemt
aplakstēt	apsvīst,nosvīst
aplakstīt	apaugļoties
aplam	nepareizi,muļķīgi,ļoti,pārlieku
aplamai	nepareizi,maldīgi
aplamāt	nolamāt,apsaukāt
aplamēm	muļķīgi,bezsakarīgi
aplamēties	muļķoties,ālēties,trakot
aplami	nepareizi,muļķīgi
aplamība	kļūda,muļķība
aplamīgs	muļķīgs,neprātīgs
aplamis	aplamnieks,muļķis,nelga,vientiesis
aplamnice	aplamniece
aplams	nepareizs,maldīgs,bezjēdzīgs,muļķīgs,slikts
aplancīt	aplūkot,apmeklēt
aplanēt	pacelt,izlīdzināt
aplangāt	nolamāt
aplāpīt	salāpīt
aplāpīties	aplāpīt
aplapot	salapot,aptvert,ietvert
aplāps	ielāps
aplasēt	nopilināt
aplāsināt	appilināt,apšļakstīt,apsmidzināt
aplasināt	notašķīt,aptašķīt,appilināt
aplasīt	salasīt,nolasīt,nolaupīt,iznīcināt
aplāt	pelt,bārt,paļāt
aplāts-2	tirgus,gadatirgus
aplauks	aploks
aplaupīt-2	nomizot
aplaupīties	aplobīties,apmizoties,atdalīties
aplauzējs	metieris
aplauziens	neveiksme
aplauzīt	aizlauzt,nolauzt
aplauzt	nolauzt
aplauzties	kļūdīties
aplauzums	neveiksme
apledojums	atkala
aplēģerēt	aplenkt,ielenkt
apleik	apkārt
aplēkt	aplecināt,apvaislot
aplekties	apvainoties,iespītēties,iecirsties
aplenkām	aplinkus
aplenku	aplinkus
aplenkus	aplinkus
aplēpēt	nogurt,pagurt
aplepīt	aplīmēt,aplipināt
aplēpt	nogurt,pagurt
aplēse	aprēķins
aplēsējs	aprēķinātājs
aplēsiens	aplēsums
apleskāt	apstaigāt,notraipīt,nosmērēt
aplēst	aprēķināt
aplēsums	aprēķins
aplēšana	aprēķināšana
aplēzēt	sameklēt,ielenkt
aplicējais	apkārtējais
aplīciene	apkārtne,apkaime
apliciens	pārdomāšana,apdomāšana
aplīcine	apkārtne,apkaime
aplīcis	apkārtne,apkaime
apliecene	apkaime,apkārtne
apliecinājums	apstiprinājums,pierādījums
apliecināt	apstiprināt,apgalvot
apliecine	apkaime,apkārtne
apliedēt	salīt,aizlīt
apliedināt	salīt,aizlīt
apliekt	apiet,apskriet,apbraukt,apņemt
apliesmot	apspīdēt
apliet	pārklāt,notraipīt
aplieve	gremzdi,aplieva
aplīgāt	aplīgot
aplīk-1	apkārt
aplīk-2	ap
aplikācija	apliekamais
aplīkšus	aplinkus
aplīkt	nolīkt
aplikt	aprunāt,apsaukāt,pārklāt,apsegt,nolikt,novietot,apvākot
aplikties	apgāzties
aplīkums	līkums,izliekums
aplikums	nogulsnes,plēve
aplingot	apmētāt
aplīnija	kontūrlīnija
aplinki	aplinkus
aplinkiem	netieši,aplinkus
aplinkš	aplinkus
aplipināt	inficēt,notraipīt
aplipt	apklāties,inficēties
aplis	riņķis
aplišķēt	apmelot
aplizgāt	aplaizīt,nolaizīt,notīrīt
aplizgot	aplaizīt,nolaizīt
aplobīt	apmizot
aplobīties	atdalīties,nolupt
aploce	ietvars,apmale
aplocenis	aploks,laukums
aplocīties	apvīties
aplogs	aploks
aplokains	aplinks
aploks	apdārzs
aploskāt	samērcēt
apložāt	apložņāt
aplūkot	apciemot,apraudzīt
aplumai	neapdomīgi,nevietā
apluncināties	pieglaimoties,pielišķēties
aplupināt	atlupināt,aplaupīt,izlaupīt
aplupīt	aprīt
aplupt	atlupt
aplūrēt	apskatīt,aplūkot
aplūzt	nolūzt,atlūzt
apļarvāt	nopelt
apļepēt	apķept
apļepināt	apmest
apļept	apķept
apļezināt	aplaizīt,nosiekalot
apļimt	savārgt,saslimt
apļurbāties	piedzerties
apļveidīgs	apļveida
apm.	apmēram
apmācība	mācīšana
apmācīt	dresēt,vingrināt
apmācīties	apmākties
apmādīt	apbāzt,apspraust
apmaidzīt	spiest,saspiest,nospiest,spaidīt
apmaiņa	apmainīšana
apmaksa	atlīdzība,samaksa
apmaksāt	atlīdzināt,samaksāt
apmāktība	nomāktība
apmākuļot	apmākties
apmālēt	apgleznot,apkrāsot,piemānīt
apmalis	mala
apmālis-2	neprāts,muļķība,miegs
apmālis-3	mutulis
apmaļi	mala
apmānēt	apmānīt
apmangot	apstaigāt,apmeklēt
apmanīt	pamanīt,ievērot
apmānīt	piemānīt,apkrāpt
apmāns	pašapmānīšanās,šķietamība
apmantāt	apburt
apmantot	apburt,mantot
apmāņa	maldi,ilūzija
apmaņa	samaņa
apmargot	izrotāt
apmarkot	zīmogot
apmaroki	apmātība
apmatojums	spilviņas
apmauči	dūraiņi
apmauds	dusmas,īgnums
apmaukt-2	apbraukt,piekrāpt,piemānīt,pievilt
apmaukties	apauties
apmaukts	apmāts
apmaut	samulsināt,apstulbināt,apģērbt
apmauties-1	apģērbties
apmauts	pārsteigts
apmazgāt	izmazgāt,nomazgāt,aprūpēt
apmāžot	maldināt,mānīt,vilt,apburt
apmēdīt	izsmiet,izzobot
apmeklēt	apciemot
apmeklēties	apaugļoties
apmelāt	apmelot
apmelnot	apmelot,nomelnot
apmelotāja	apmelotājs
apmelst	apmelot
apmēļot	aprunāt
apmēmerēt	apmānīt
apmēmot	apklust
apmēram	ap,aptuveni
apmergot	apmargot
apmērīt	nomērīt
apmērkt	iemērkt,apmērcēt
apmērs	pielaikošana,vēriens
apmesli	ķēdes,važas,meti,velki
apmest	apklāt,apgāzt,piekrāpt
apmesties	ierasties
apmētāt	apmetināt-1
apmetināt-1	apmest
apmetināt-2	nometināt
apmets	apmērs,apkārtmērs
apmīcīt	samīcīt
apmīdīt	sabradāt
apmidzināt	iemidzināt
apmiegs	snaudiens,atmiegs
apmiegt	apspiest,nomākt
apmiekšķēt	apēst
apmielot	cienāt,mielot
apmienot	iežogot,apstiprināt,apliecināt,apšaubīt,apmulsināt,apburt
apmierinājums	labpatika,prieks,mierinājums
apmierināt	nomierināt,atzīt,saskanēt
apmierinātība	apmierinājums,labpatika
apmierināties	nomierināties
apmierinošs	pietiekams
apmiet	iežogot
apmietēt	apmietot
apmiezt	apčurāt
apmiga	snaudiens,atmiegs
apmiglāt	apmiglot
apmiglāties	apmigloties
apmiglot	apsmidzināt,pārklāties,apmigloties
apmiglotājs	miglotājs
apmigt	aizmigt,iemigt
apmīlēt	apmīlināt
apmīlināt	glaust,glāstīt
apmīlot	apmīļot
apmilst-1	apmilzt
apmilst-2	apmulst
apmins	akmens
apmīņāt	sabradāt
apmirdīt	apklusināt,nomierināt,apremdēt,iemidzināt
apmirdzināt	apspīdēt,apgaismot,apslacīt
apmirināt	apmirdināt
apmirst	aizmirst
apmirt	nomirt,paģībt,pamirt
apmisēt	samulsināt,mulsināt,pārskatīties,kļūdīties,pārteikties
apmīstīt	apēst
apmistrēties	maisīties,jaukties
apmišņas	viesošanās,uzturēšanās
apmīt-1	sabradāt,nobradāt
apmīt-2	apmainīt
apmīties	apmainīties
apmizot	nomizot
apmīzt	apčurāt
apmīzties	apčurāties,čurāt
apmucis-2	lindraks
apmuči	apauši,apmetnis,virssvārki,mētelis,brunči,lindraki
apmučīt	apmuļināt
apmudēt	appelēt,sabojāties
apmudināt	apšķebināt
apmūdīt	apslīcināt
apmudīt	apslāpēt,nosmacēt,noslodzīt
apmudīties	novadēties
apmuit	apēst,nosukāt,piemuļķot
apmukt	nomukt
apmuldēties	apmaldīties
apmuldināt	apmānīt,apmulsināt
apmuldīties	apmaldīties
apmulis	samulsis,muļķīgs
apmulsa	apmulsums
apmulst	nokautrēties
apmuļināt	nosiekalot,apsiekalot
apmuļķināt	apmuļķot,piemuļķot,muļķot
apmuļķot	apmānīt,piemuļķot
apmurcīt	apņurcīt
apmurdzīt	apņurcīt
apmurīt	apmurdzināt
apmūrīt	apmūrēt,nosmulēt
apmūrīties	nosmulēties,nosmērēties
apnaglot	pienaglot
apnaiskāt	bojāt
apnasāt	apnēsāt,apvalkāt
apnāvīt	apgalēt
apneidēt	apnīdēt
apnemt	apņemt
apnerrot	iznerrot
apnēsāt	apvalkāt
apnēsāties	apvalkāties
apnest	pārklāt,izsmiet,izzobot
apnesties	paciest,izturēt
apnicība	apnikums
apniciens	apnikums,garlaicība
apnicīgs	garlaicīgs,vienmuļš
apnicināt	noniecināt
apnīdēt	iznīdēt
apniekāt	apsmurgāt,apsmulēt
apniekot	apmelnot,nopulgot
apnīgroties	apriebties
apnīka	apnikums
apnika	apnikums
apniknot	sakaitināt,sadusmot
apniknoties	saskaisties,saniknoties
apnikties	apnikt
apnītīt	ienītēt
apnižģināt	paglaudīt,paplikšķināt
apnoe	apnoja
apņēmība	apņemšanās
apņēmīgs	stingrs,noteikts
apņemšanās	nodoms
apņemt	iekļaut,apprecēt,apskaut,satvert,aptvert,apsegt
apņemties	apmākties
apņīkt	apnīkt
apņurdzīt	apņurcīt
apņurgāt	nosmērēt
apņurgāties	nosmērēties,nosmulēties
apoastrons	apoastrs
apodeiktisks	stingrs,noteikts,neapgāžams
apodziņš	zvirbuļpūcīte
apofātisks	noliedzošs
apoglēt	apogļot
apoglēties	apogļoties
apoglīt	pārogļoties,apogļoties
apogļošana	karbonizācija
apokopēt	strupināt
apokrife	apokrifs
apokrifīgs	nesaprotams,neskaidrs
apokrifisks	apšaubāms
apokrīze	atdalīšanās
apoksterēt	apokšķerēt
apokstīt	apokšķerēt
apolē	apaliski
apollonisks	apolonisks
apologēti	apoloģēti
apologēts	aizstāvis
apoloģēte	apoloģēts
apoloģija	apoloģētika
apoloģisks	apoloģētisks
Apolons	apollons
Apolos	apollons
apols	apaļš
apolytrosis	atbrīvošana,atsvabināšana,atpestīšana
apoļiski	apaliski
aporocactus	aporokaktuss
aport-1	apart
aposļa	pēc
apost	paost
apostakse	pilēšana
apostīt	paostīt
apostols	apustulis
apostrofe	apostrofs
apostulis	apustulis
apoši	apauši
apošķerēt	apokšķerēt
apošņāt	paošņāt
apoteoze	dievināšana
apoži	apauši
appaijāt	apglāstīt
appaisīt	izkulstīt
appakaļ	atpakaļ
appaļāt	nopelt,paļāt,apmelot
appampt	uzpampt,aptūkt
appanckāt	apģērbt
appassionato	kaislīgi,aizrautīgi
appeiķoties	apvaicāties,apprasīties
appeizēt	apstaigāt
appelcēt	apmīzt
appelcēties	apmīzties
appelējums	pelējums
appelt	nopelt,pelt,paļāt
appempt	appampt
appērsēt	apsarmot
appērsnes	apsarme
appērt	skart,apspurt,izspurt
appērties	novārtīties,aplipt
appestelēt	apburt
appētīt	nopētīt
appija	apija
appīkstēt	rimties
appimcot	apburt
appincot	apburt,glāstīt,glaudīt
appinčeklot	apburt
appirkt	nopirkt
appīt	aptvert
appīties	apvīties
appižāt	apčurāt,apsmulēt
appižāties	apčurāties,aptaisīties
applaiksnīties	noskaidroties
applāt	aprunāt,apceļot,apstaigāt,izstaigāt,apklāt
applatīt	apstiept
applaukšķināt	aprunāt
applaust	apliet
applausties	aplieties
applēst-2	izplēst
applēsties-2	apņemt
applicināt	noplicināt
applīsāt	apdriskāties
applīst	ieplīst,apdriskāties
applītēt	noplītēt,izšķērdēt
applīvurot	aizplīvurot
applosīt	saplosīt,sadīrāt,saplēst
applucināt-2	applaucēt
applucināties	applaucēties
applucis	noplucis
applūdi	plūdi
applūdināt	apklāt
applūdums	plūdi
applūkāt	apdriskāt
applukt	nokrāsoties,sakrāsoties
applūkt	noplūkt
applūsme	applūsma
applusnēt	applukt
appļaustīt	appļaut
appļaut	nopļaut
appļāvas	appļāvības
appļāvenes	appļāvības
appļāvines	appļāvības
appļekāt	nosmērēt
appļupt	nomelnot,apmelot
appļūtēt	nosmulēt,notašķīt,nocūkot
appļūtīt	nosmulēt,notašķīt,nocūkot
appoinīt	sagumzīt,saburzīt
appopēt	apģērbt
apposties	tīrīties,notīrīties
appotēt	sapotēt
apprasīt	iztaujāt
apprasīties	apjautāties
apprašņāt	iztaujāt
appraulēt	trunēt,trūdēt
appravīt	apkopt,aprūpēt
Appricken	Apriķi
appucēt	sakopt,notīrīt
appuinīt	sagumzīt,saburzīt,apbalzīt
appuišot	apkalpot
appumpt	appampt
appuņķāt	appuņķot,appuņķoties
appuņķāties	appuņķot,appuņķoties
appurināt	nopurināt
appurnīt	appurināt
appurņīt	atstumt,atgrūst,apgāzt
appurpināt	apvārdot
Appussen	Apuze
appust	apputēt
appūstīt	appūšļot
appuškāt	appušķot
appuškot	izgreznot
appuškoties	izpušķoties,izgreznoties
appušķet	appušķot
appušķot	izgreznot,izrotāt
appūšļāt	appūšļot
appūt	strutot,pūžņot
apputekšņāt	apputeksnēt
apputekšņot	apputeksnēt
apputēt	pārklāties
apputināt	pārklāt,apputeksnēt
apputinātājs	pulverizators
appuvēt	appūt
appužināt	apčubināt
apr.	apriņķis,apraksts,aprīlis
apracējs	kapracis
apradināties	aprast
apraibināt	apmulsināt,maldināt
apraicīt	izvagot
apraizēt	apkopt,apgādāt
aprakāt	aprakņāt
aprakņāt	apstrādāt,apkopt
aprakste	aprakstīšana
aprakstīt	izrakstīt,izteikt,attēlot
aprakstoši	aprakstošs
aprakstošs	deskriptīvs
aprakstveidīgs	aprakstveida
aprakt	ierakt,pārklāt,nosegt,paslēpt,paglabāt,apbedīt,apspiest,apslēpt,apvaldīt,atmest,pazudināt,apstrādāt,apkopt
aprakties	ierakties
aprāmējums	ietvars
aprāmēt	ierāmēt
apramīt	apglabāt
aprāmīt	savaldīt,nomierināt
aprāms	mierīgs,rāms
aprāpāt	aprāpot
aprasāt	aprasot
aprasot	aprasināt,nosvīst
apraudāt	bēdāties,sūroties
apraudze	apskate
apraudzīt	pārbaudīt,apciemot,apmeklēt
apraudzīties	pavērties,palūkoties
apraust	apbērt
apraustam	stostīties
apraušņāt	aprušināt
apraut	noraut,apžāvēt,apsausēt,sašaurināt,samazināt,noraukt,saīsināt,palēnināt,pārtraukt
aprauti	aprauts
aprautība	mazrunīgums
aprauties	izbeigties,apžūt
aprēbt	apreibt
apredzēt	pārredzēt
apredzīgs	piesardzīgs,apdomīgs,uzmanīgs
apreibt	noreibt,sajūsmināties,aizmirsties
apreiķināt	aprēķināt,aplēst
apreizot	apstaigāt,apceļot
aprēkt	apsmiet
aprēkties	pārsmieties
aprēķins	aprēķināšana
aprelis	aprīlis
apremdēt	apremdināt
apremdināt	pārvarēt,noklusināt
aprept	aprepēt
apretēt	aprepēt
aprevēt	izravēt
aprībināt	pierībināt,piedimdināt
apricenis	aprika
apricinis	aprika
apricis	aprika
aprīdīt	nogalināt
apriebināt-1	panest,pārciest,apšķebināt
apriebt	apvārdot
apriecenis	aprika
aprieka	aprika
aprieks	aprika
apriest-2	nocirst,īsināt,apvīlēt
apriet	riet,apsaukāt,aprunāt
aprietēt	norietēt
aprīkot	pasūtīt
aprikozs	aprikoze
apriks	aprika
aprikt-1	aprecēt
aprikt-2	izsīkt,izsusēt
aprikte	iekārtojums,iekārta,iestāde
apriktēt	ierīkot,iekārtot
aprillis	aprīlis
aprima	pārtraukums
aprimināt	aprimdināt
aprimstīties	nomierināties
aprimt	mitēties,pārstāt,pieklust
aprimties	aprimt
aprindināt	aprimdināt
aprindot	ielenkt
apriņķis	platība,teritorija
aprioristisks	apriors
apripāt	apripot,apvelties
apripulis	apkārtne
aprise	apveids,kontūra
aprisst	aprist
aprist	apritēt
aprīt	norīt,patērēt
apritēt	paiet
apritināt	saritināt
aprobācija	aprobēšana
aprobēšana	aprobācija
aprobežāt	norobežot,ierobežot
aprobežot	ierobežot,norobežot
aprobežots	vienpusīgs,mazvērtīgs
aprocaiņš	aprocainis
aproce	rokassprādze
aproksimācija	tuvināšana
aproksimatīvs	aptuvens
aproksnis	īpašums
aprostosija	nesatricināmība
aprubināt-1	apskrubināt,apgrauzt
aprūkāt	apaugļot
aprūkāties	apvaisloties,apaugļoties
aprūkt	aplēkt
aprukt	sarauties,ierauties,apsīkt
aprūķēt	apdarīt,aprūpēt
aprumalāt	aprumulēt
aprumbāties	saaugt,sadzīt,aizdzīt
aprumulāt	aprumulēt
aprunāšanās	pārrunas,saruna
aprunāties	parunāties
aprunīgs	melīgs
aprūpe	aprūpība
aprūpināt	apkopt
aprušināt	apraust
aprušķēt	nosmulēties
apružģīt	notraipīt,nosmulēt
apružināt	aprušināt
apsaauties	apauties
apsabārstīties	apbārstīties
apsabērnāties	apbērnoties
apsabežīties	apvainoties
apsabīties	nobīties
apsabruņāties	apbruņoties
apsabružāties	apbružāties
apsaburzgalāties	apdriskāties
apsacepties	apcepties
apsačupinēties	aptaustīt
apsadauzīties	apdauzīties,apaugļoties
apsadedzināties	apdedzināties
apsadomāties	apdomāties
apsaēsties	atēsties,pārēsties
apsagāzties	apgāzties
apsagulties	apgulties,aizmigt
apsaine	apsājs
apsainis	komprese
apsaite	apsējs
apsaitēt	aptīt,apsiet
apsajaukties	apaugļoties
apsajozties	apjozties
apsakārstities	apkarināties
apsaklausīties	apklausīties
apsakopties	apkopties
apsākt	sākt,iesākt,pierast,aprast
apsaķerties	apķerties,attapties
apsala	atkala
apsalaizīties	aplaizīties
apsaldēt	apaukstēt
apsaldēties	apaukstēties
apsalēt	apsalt
apsalieties	aplieties
apsaliņot	nosapņot
apsalizgāties	aplaizīties
apsalot	sasalt
apsalt	nosalt
apsalties	apsaldēties
apsaļ	ļoti,ārkārtīgi
apsamākties	apmākties
apsamānīties	pārskatīties
apsamaukties	apģērbties,apauties
apsamiegāties	apmiegoties
apsamiegties	piegulēt
apsāpēt	nogurt,mitēties
apsaprecēties	apprecēties
apsaraudāties	apraudāties
apsarauties	pārstiepties
apsardze	apsargāšana,apsargs
apsargātājs	aizstāvis
apsargs	aizstāvis
apsarkt	iekaist
apsarmas	apsarme
apsarmāt	apsarmot
apsarme	apsarmojums
apsarmes	apsarme
apsarmot	apsirmot
apsārtums	sārtums
apsarunāties	aprunāties
apsasegties	apsegties
apsasēsties	apsēsties
apsasildīties	apsildīties
apsasisties	nosisties
apsaskatīties	apskatīties
apsasmulēties	aptraipīties
apsaspriesties	apspriesties
apsastāties	apstāties
apsasviesties	apgāzties
apsašļakstināties	apšļakstīties
apsašmucināties	applaucēties
apsataisīties	apmākties
apsatirities	aptīrīties
apsatīties	apvīties
apsatolkavāties	aprunāties
apsatriekties	aprast
apsauka	aizrādījums,aizliegums
apsaukāt	nolamāt
apsaukāties	apsaukāt
apsaukt	aizrādīt
apsausēt	apsausināt,apžūt
apsausināt	apsusināt
apsaust	apsausēt
apsaut	apšaut
apsautēt	pasautēt
apsavaicāties	apjautāties
apsavaiņāties	apvainoties
apsavaltīs	paklupt,uzbaroties
apsavelties	apvelties
apsavērsties	apvērsties
apsavērties	apskatīties
apsavilkšana	apģērbs
apsavilkties	apģērbties
apsaziesties	notriepties
apsazināties	apzināties,uzzināt
apsazīties	pārskatīties
apsaženīties	apprecēties
apsebēt	nokavēties,panīkt,nonīkt
apseboties	nokavēties
apsēdēt	aplenkt,apsēsties
apsēdēties	apsēsties
apsedlot	apseglot
apsegt	pārklāt,nosegt,apņemt
apsegties	ietīties
apseilāt	apsiekaloties
apsēja-1	apsēšana,apsējības
apsēja-2	apsējs
apsējums	apsējs
apsēklāt	apsēklot
apsekšķēt	notraipīt,aptašķīt,nosmulēt
āpsene	muļķe
apsērksna	sērsna
apsermot	apsarmot
apsērot	sērot
apsērsējs	apmeklētājs,ciemiņš,viesis
apsērsiens	apmeklējums,ciemošanās
apsērst	apmeklēt,apciemot
apsērt	apmeklēt,apciemot
apsēst	sadrūzmēties,sablīvēties,uzmākties,apsēsties,nosēsties,aplenkt,apstāt,noburt
apsēsta	histēriķe,histēriķis
apsēsties	apmesties,uzmesties
apsešķēt	notraipīt,aptašķīt,nosmulēt
apsēt	iesēt
apsēta	iežogojums,žogs,aploks
apsēte	iežogojums,žogs,aploks
apsētīt	iežogot
apsidrabot	apsudrabot
apsienamais	apsējs
apsierēt	apiet,apstaigāt
apsiet	apņemt
apsievoties	apprecēties
apsikt	samazināties,izbeigties
apsīkt	samazināties,izbeigties
apsilde	apsildīšana
apsildīt	pasildīt
apsildīties	pasildīties
apsirdīties	apskaisties
apsirgt	apslimt
apsis	apse
āpsis	muļķis
apsist	pārklāt,nosist,nogalināt,apdzēst
apsisties	pārklāties,saslimt,nosisties
apsists	muļķīgs,dumjš,nenormāls,dīvains
apsitīgs	izveicīgs,veikls,manīgs,mainīgs,grozīgs,nepastāvīgs
apsitināt	aptīt,aptīstīt
apsitnis	apmetnis
apsk.	apskats
apskābēt	saskābēt
apskabināt	apšķebināt
apskabināties	apšķebināties
apskabīt	apcirst
apskādēt	sabojāt
apskaisties	sadusmoties
apskaitīt	aprēķināt,skaitīt
