1diena	pirmdiena
acumirklis	mirklis,moments,pašreiz,tūlīt,uzreiz
acumirksnis	acumirklis
acuplakstiņi	rasene
acuraugs	redzoklis
acuto	asi,griezīgi,spalgi
acuzobs	ilknis
ačagārni	ačgārni
ače	skat
ačele	ačtele
ačgāniski	ačgārni
ačgari	ačgārni
ačgārni	otrādi,atmuguriski
ačgārnis-1	aplamnieks,vēzis,kreilis
ačgārnis-2	ačgārni
ačgārniski	ačgārni
ačgārniskis	otrāds,nepareizs
ačgārnisks	apgriezts,otrāds
ačgārniskums	aplamība
ačgārns	otrādi,atmuguriski
ačgārnus	ačgārni
ači-2	brilles
ači-3	ačini
ačigārni	ačgārni
ačīgs	acīgs,uzmanīgs,mundrs,izveicīgs
ačikups	ačkups
ačka	vienacis
ačkas	brilles
ačko	tualete
ačohņīties	atjēgties,atgūties
ačtele	ačele
ačugārniski	ačgārni
ačugārniskis	ačgārni
ad	pie
āda	plēve,prezervatīvs
ādainieks	kleperis
ādains	biezs,gluds,ciets
ādamābols	gāmurs
ādamaks	ādminis
adamants	dimants,briljants
Adamello	Adamells
Adamells	Adamello
adamīns	adamīts
adamīts	adamīns,adamīti
adāms	adīklis
adapcija	piemērošanās
adaptēt	pielāgot,vienkāršot
adaptēties	pielāgoties,piemēroties
adaptris	adapters
ādapuža	zemāda
adars-3	attieksme
ādaskrāsa	ādskrāsa,ādkrāsa
ādasstrēmele	ādsstrēmele,ādstrēmele
adata	adāmadata
adatādainie	adatādaiņi
adataiņi	adatādaiņi
adataiņš	adatains
adātāja	adītāja
adatcūka	dzeloņcūka
adatnieks	jokupēteris,šķelmis
adatots	adatains
adatterapija	akupunktūra
adatveidīgs	adatveida
adatzivjveidīgais	adatzivjveidīgie
ādaunīca	ādaunieks
ādaunieks	ādenis,kleperis
ādbrauķis	ādminis
addio	ardievu
addolorando	skumji,bēdīgi
addolorato	skumji,bēdīgi,žēlabaini
adēja	adītāja
adējeņa	adītāja
adējiņa	adītāja
adekvācija	piemērošana,izlīdzināšana
adekvēt	piemērot,nolīdzināt
adelfija	sabrāļošanās
adelfos	brālis
adelomorfs	neskaidrs
ademcija	atņemšana,laupīšana
ademozīne	nomāktība,nemiers,uztraukums
Adene	Adena
ādenis	kleperis,ādainis
adenoforas	pulkstenītes,zvaniņi
adens	dziedzeris
ādercirtējs	āderētājs
ādere	asinsvads
āderēt	miecēt,ģērēt,pērt
āderētājs	ādercirtējs
adermīns	piridoksīns
adēt	pielikt,saskaitīt
ādēt	rūdīt
ādģēris	ādminis
ādģērmanis	ādminis
